"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast"
"Naïve Forecasting",5358562.81,18351676.13,1107619466073210,17.5478,439402150.82,23.9434,466838801
"Moving Average (k=3)",4894610.38,11329371.62,466841586797919,10.9845,396463440.64,34.9943,366646387
"Weighted Moving Average",3478028.94,8509101.19,256916639413249,8.1798,281720344.17,33.1081,394037610
"Exponential Smoothing (a=0.4)",10648112.75,17781880.01,1099807115278490,16.0908,873145245.72,49.1031,376694748
"Trend-Adjusted ES (Holt)",2173403.93,16784534.79,996875370627402,16.9013,176045718.07,10.4886,399405897
"Linear Trend Projection",0,49027164.53,3757182306534697,80.0511,0,0,251361459
"Seasonal Indices",146211.32,48231262.08,3496362524849178,78.4031,12135539.32,0.2516,231738735
"Additive Decomposition",547714.77,12147369.75,385656268265002,17.6073,38887748.34,3.2013,306102583
"Multiplicative Decomposition",281074.85,11020141.13,346492508725169,12.9104,19956314.45,1.8109,285352175
"Regression Trend + Seasonal Dummies",0,48954637.04,3579501813416091,81.1431,0,0,249520952
